skills,interests,education_level,years_experience,certifications,projects,target_career
"html, node.js, databases","backend systems, frontend development, ui design",Self-Taught,3,Certified,portfolio website,Web Developer
"python, git, java, data structures, algorithms, system design","coding, software architecture",PhD,3,None,algorithm visualizer,Software Engineer
"html, javascript, css, api","building websites, ui design, backend systems",Master,6,Certified,e-commerce site,Web Developer
"css, javascript, node.js, react, api","frontend development, backend systems, building websites",Bachelor,0,In Progress,e-commerce site,Web Developer
"css, node.js, react, html, javascript","frontend development, building websites, backend systems, ui design",Self-Taught,10,In Progress,portfolio website,Web Developer
"figma, wireframing, user research","user testing, design capability, visual design, user interface",Master,10,Certified,mobile app design,UX Designer
"sketch, wireframing, adobe xd, figma, user research, prototyping","user interface, user testing",Bachelor,3,In Progress,user flow diagram,UX Designer
"adobe xd, prototyping, sketch, wireframing, user research, figma","visual design, design capability, user interface",PhD,7,Certified,mobile app design,UX Designer
"html, react, node.js, javascript, databases","backend systems, building websites, ui design",Bachelor,6,Certified,portfolio website,Web Developer
"css, javascript, react","backend systems, frontend development, building websites, ui design",PhD,3,In Progress,chat application,Web Developer
"figma, prototyping, sketch","user testing, design capability",Self-Taught,4,In Progress,website redesign,UX Designer
"sql, python, nlp, pandas, statistics, numpy, machine learning","building models, solving complex problems",PhD,9,None,customer churn prediction,Data Scientist
"wireframing, figma, prototyping","design capability, user testing, visual design, user interface",PhD,8,Certified,user flow diagram,UX Designer
"python, pandas, statistics, nlp, machine learning, deep learning, numpy, sql","ai research, analyzing data, building models, solving complex problems",Self-Taught,4,Certified,customer churn prediction,Data Scientist
"agile, analytics, communication, market research","leading teams, product strategy, user experience",Self-Taught,5,Certified,market analysis,Product Manager
"deep learning, machine learning, nlp, statistics, numpy, pandas, sql, python","building models, solving complex problems, ai research",PhD,5,In Progress,image classification,Data Scientist
"c++, git, system design, java","backend logic, coding, optimizing performance",Self-Taught,6,In Progress,algorithm visualizer,Software Engineer
"git, python, algorithms, java, c++, system design","software architecture, optimizing performance",Self-Taught,4,Certified,desktop application,Software Engineer
"wireframing, figma, adobe xd, user research, prototyping","user testing, design capability",Self-Taught,5,Certified,mobile app design,UX Designer
"api, react, javascript, html, databases, css","backend systems, building websites",PhD,1,None,chat application,Web Developer
"prototyping, sketch, adobe xd","user interface, design capability, visual design, user testing",Master,4,None,mobile app design,UX Designer
"adobe xd, wireframing, sketch, figma","visual design, design capability",Master,1,None,mobile app design,UX Designer
"roadmapping, communication, agile","user experience, product strategy",Master,5,None,user research,Product Manager
"c++, java, python, git, algorithms, data structures","backend logic, software architecture, optimizing performance, coding",Self-Taught,10,In Progress,desktop application,Software Engineer
"data structures, git, c++, python, java, system design, algorithms","backend logic, software architecture, coding, optimizing performance",Master,9,In Progress,algorithm visualizer,Software Engineer
"python, deep learning, numpy, statistics","solving complex problems, ai research, building models, analyzing data",Self-Taught,6,None,image classification,Data Scientist
"git, python, system design","backend logic, coding, software architecture",Self-Taught,8,Certified,algorithm visualizer,Software Engineer
"api, databases, html, javascript, css","backend systems, frontend development, ui design, building websites",Master,7,None,portfolio website,Web Developer
"prototyping, user research, sketch, figma","visual design, user testing, user interface",Bachelor,2,In Progress,website redesign,UX Designer
"communication, scrum, market research, analytics, roadmapping, agile","user experience, leading teams, business growth",PhD,6,In Progress,market analysis,Product Manager
"css, api, react, databases","building websites, ui design",Master,7,In Progress,e-commerce site,Web Developer
"agile, market research, roadmapping, scrum, communication, analytics","user experience, business growth, leading teams",Bachelor,1,None,product launch,Product Manager
"pandas, deep learning, machine learning, python, sql, nlp","building models, ai research",Bachelor,8,In Progress,image classification,Data Scientist
"user research, adobe xd, sketch, figma, prototyping","design capability, user interface, visual design, user testing",Bachelor,8,In Progress,website redesign,UX Designer
"api, databases, react","ui design, backend systems, building websites",Self-Taught,1,In Progress,e-commerce site,Web Developer
"agile, scrum, roadmapping, market research","business growth, user experience",PhD,0,In Progress,product launch,Product Manager
"analytics, scrum, communication, agile","product strategy, user experience, business growth",Self-Taught,0,In Progress,user research,Product Manager
"user research, wireframing, adobe xd","visual design, user interface",Self-Taught,4,None,mobile app design,UX Designer
"node.js, javascript, html, api, databases, css, react","backend systems, building websites, ui design",Self-Taught,4,None,portfolio website,Web Developer
"html, javascript, api, node.js, react, databases","building websites, ui design",Bachelor,1,None,portfolio website,Web Developer
"api, css, html, databases, javascript","frontend development, building websites, backend systems",Master,10,None,portfolio website,Web Developer
"sketch, adobe xd, prototyping","visual design, user testing",Bachelor,1,None,website redesign,UX Designer
"communication, roadmapping, scrum, analytics, market research","business growth, product strategy, leading teams, user experience",Bachelor,2,In Progress,product launch,Product Manager
"css, javascript, react, databases, node.js","ui design, building websites",Self-Taught,6,None,e-commerce site,Web Developer
"python, system design, java","optimizing performance, coding",Master,5,In Progress,algorithm visualizer,Software Engineer
"git, java, algorithms, c++, system design","backend logic, coding",Bachelor,4,Certified,algorithm visualizer,Software Engineer
"wireframing, sketch, prototyping, adobe xd, figma","user testing, user interface, design capability",Bachelor,4,In Progress,website redesign,UX Designer
"git, data structures, java, c++","optimizing performance, backend logic, coding, software architecture",Bachelor,0,None,desktop application,Software Engineer
"market research, roadmapping, communication, scrum","product strategy, leading teams, business growth, user experience",Bachelor,2,Certified,user research,Product Manager
"java, python, algorithms","optimizing performance, coding, software architecture",Master,8,None,scalable system,Software Engineer
"css, javascript, node.js","frontend development, building websites",PhD,8,None,portfolio website,Web Developer
"analytics, roadmapping, scrum, agile, market research","product strategy, leading teams, business growth",PhD,9,Certified,product launch,Product Manager
"machine learning, statistics, nlp, deep learning, pandas, numpy, sql, python","building models, analyzing data",PhD,6,Certified,sentiment analysis,Data Scientist
"adobe xd, user research, sketch, wireframing, figma, prototyping","user testing, user interface, visual design",Self-Taught,10,Certified,website redesign,UX Designer
"prototyping, figma, user research, wireframing, adobe xd, sketch","visual design, design capability, user interface",Master,3,Certified,website redesign,UX Designer
"sql, nlp, pandas","solving complex problems, building models",PhD,0,In Progress,sentiment analysis,Data Scientist
"pandas, deep learning, nlp, sql, numpy, python, statistics","ai research, solving complex problems",Master,0,None,image classification,Data Scientist
"communication, scrum, market research, analytics, roadmapping","leading teams, user experience",PhD,5,None,user research,Product Manager
"adobe xd, figma, prototyping","visual design, user testing, design capability, user interface",Master,5,In Progress,website redesign,UX Designer
"databases, html, node.js, api","backend systems, frontend development",Self-Taught,4,In Progress,chat application,Web Developer
